Date,Open,High,Low,Close,Adj Close,Volume
2021-03-05,216.889999,218.149994,207.210007,217.710007,216.975418,53204300
2021-03-08,219.360001,222.270004,217.669998,218.740005,218.001953,40619700
2021-03-09,222.410004,224.990005,220.919998,223.339996,222.586426,32247300
2021-03-10,225.600006,228.970001,225.199997,227.220001,226.453323,36812000
2021-03-11,229.550003,232.279999,228.789993,232.220001,231.436462,25256700
2021-03-12,231.990005,234.149994,231.369995,233.589996,232.801834,23732200
2021-03-15,233.339996,234.529999,231.910004,234.419998,233.629028,21497400
2021-03-16,234.020004,234.089996,229.119995,230.500000,229.722260,24675000
2021-03-17,228.970001,232.820007,227.360001,232.309998,231.526154,29422600
2021-03-18,230.800003,232.929993,224.610001,225.240005,224.480011,35637200
2021-03-19,224.570007,228.600006,222.949997,226.940002,226.174286,40855600
2021-03-22,227.679993,228.100006,224.100006,225.229996,224.470047,26128400
2021-03-23,223.160004,223.860001,216.029999,217.059998,216.327606,43660700
2021-03-24,219.860001,221.330002,212.039993,212.039993,211.324539,47270200
2021-03-25,209.339996,217.520004,208.029999,216.660004,216.335022,59244600
2021-03-26,218.960007,220.679993,215.960007,220.610001,220.279099,34452600
2021-03-29,219.009995,220.929993,214.080002,214.399994,214.078400,38078800
2021-03-30,214.389999,218.679993,213.139999,218.009995,217.682983,36205400
2021-03-31,219.169998,222.399994,219.119995,220.940002,220.608597,34800100
2021-04-01,222.399994,223.899994,222.020004,223.740005,223.404404,29799200
2021-04-05,226.399994,226.539993,223.570007,224.970001,224.632553,27826600
2021-04-06,225.000000,226.690002,223.839996,224.309998,223.973541,24907800
2021-04-07,224.229996,224.369995,219.940002,220.690002,220.358978,26233700
2021-04-08,221.839996,222.820007,219.389999,222.559998,222.226166,23989400
2021-04-09,222.490005,223.089996,221.240005,222.589996,222.256119,23267400
2021-04-12,222.720001,222.929993,220.399994,221.720001,221.387436,20533900
2021-04-13,221.479996,222.570007,218.830002,221.139999,220.808304,24608400
2021-04-14,221.869995,226.000000,221.800003,223.320007,222.985031,27362000
2021-04-15,225.089996,225.119995,222.259995,224.289993,223.953568,20587300
2021-04-16,225.399994,225.679993,223.009995,224.649994,224.313034,23943000
2021-04-19,223.710007,224.660004,219.940002,221.729996,221.397415,25285900
2021-04-20,220.770004,221.619995,215.240005,217.190002,216.864227,35570800
2021-04-21,217.020004,222.619995,215.500000,222.500000,222.166260,31147800
2021-04-22,223.259995,225.330002,220.779999,221.580002,221.247650,31943700
2021-04-23,222.820007,226.649994,222.020004,225.759995,225.421371,27999500
2021-04-26,227.000000,228.690002,226.750000,228.110001,227.767853,19069200
2021-04-27,228.710007,229.389999,227.509995,228.449997,228.107330,19648100
2021-04-28,228.080002,229.490005,227.100006,228.839996,228.496750,16222700
2021-04-29,230.850006,230.949997,225.789993,227.990005,227.648026,25500300
2021-04-30,225.720001,227.800003,224.139999,224.889999,224.552673,27006000
2021-05-03,227.210007,227.410004,224.919998,225.990005,225.651031,18693400
2021-05-04,224.600006,226.139999,220.960007,223.289993,222.955063,26892700
2021-05-05,224.279999,224.539993,221.360001,222.399994,222.066406,25139500
2021-05-06,222.649994,222.809998,218.639999,222.589996,222.256119,27647300
2021-05-07,222.660004,225.929993,222.160004,225.389999,225.051926,26172700
2021-05-10,225.229996,225.669998,219.589996,219.660004,219.330521,28109100
2021-05-11,214.919998,220.389999,214.419998,218.960007,218.631577,39519500
2021-05-12,217.100006,218.770004,211.539993,211.850006,211.532242,42113400
2021-05-13,213.309998,217.440002,211.800003,215.750000,215.426392,37739900
2021-05-14,217.940002,221.410004,215.679993,221.020004,220.688492,25070400
2021-05-17,219.779999,221.389999,217.899994,221.320007,220.988037,20048500
2021-05-18,221.389999,223.240005,219.470001,219.639999,219.310547,24564500
2021-05-19,216.029999,218.160004,214.050003,217.949997,217.623077,31202800
2021-05-20,218.270004,219.869995,216.330002,219.399994,219.070908,24932800
2021-05-21,221.330002,222.369995,219.350006,219.970001,219.640060,24213700
2021-05-24,221.179993,222.449997,220.000000,221.399994,221.067902,18324200
2021-05-25,222.229996,223.710007,219.190002,219.259995,218.931122,20514900
2021-05-26,220.130005,223.690002,220.119995,223.350006,223.014999,20388200
2021-05-27,225.039993,226.360001,224.179993,225.649994,225.311523,21225700
