Date,Open,High,Low,Close,Adj Close,Volume
2021-01-27,326.260010,326.269989,317.359985,319.429993,318.657440,55264000
2021-01-28,320.670013,326.420013,320.029999,321.320007,320.542877,42836300
2021-01-29,319.579987,320.720001,312.760010,314.559998,313.799194,55259000
2021-02-01,318.109985,323.540009,316.019989,322.420013,321.640198,35646000
2021-02-02,325.480011,328.869995,325.309998,327.679993,326.887482,33930800
2021-02-03,329.820007,330.200012,326.320007,326.380005,325.590607,24824500
2021-02-04,327.820007,330.329987,326.459991,330.239990,329.441284,22350900
2021-02-05,331.220001,332.399994,329.529999,331.359985,330.558563,22732000
2021-02-08,333.100006,333.739990,331.410004,333.579987,332.773193,20462800
2021-02-09,332.619995,334.809998,332.609985,333.510010,332.703400,17597500
2021-02-10,334.989990,335.459991,329.500000,332.750000,331.945190,28068700
2021-02-11,334.329987,335.000000,332.119995,334.579987,333.770752,22046100
2021-02-12,333.709991,336.619995,332.630005,336.450012,335.636261,20346800
2021-02-16,337.269989,338.190002,334.339996,335.540009,334.728485,27080800
2021-02-17,332.470001,335.660004,330.170013,333.929993,333.122345,31360300
2021-02-18,330.230011,333.869995,328.359985,332.470001,331.665894,32236200
2021-02-19,333.859985,333.989990,329.970001,331.019989,330.219391,39157700
2021-02-22,326.500000,327.799988,322.230011,322.440002,321.660126,47256900
2021-02-23,317.000000,323.200012,311.000000,321.480011,320.702484,97241900
2021-02-24,318.739990,324.450012,315.959991,324.130005,323.346039,58206300
2021-02-25,321.390015,324.029999,311.239990,312.829987,312.073364,110182600
2021-02-26,315.850006,319.109985,310.880005,314.140015,313.380219,104739800
2021-03-01,319.269989,323.940002,317.940002,323.589996,322.807373,49164500
2021-03-02,324.250000,324.329987,318.140015,318.399994,317.629913,48370000
2021-03-03,317.269989,318.239990,309.100006,309.160004,308.412262,86301100
2021-03-04,308.779999,312.040009,300.109985,304.100006,303.364502,139131600
2021-03-05,306.799988,309.609985,297.450012,308.679993,307.933411,121523700
2021-03-08,308.119995,310.059998,299.510010,299.940002,299.214569,88409800
2021-03-09,307.470001,313.730011,306.920013,311.769989,311.015930,80391100
2021-03-10,316.160004,316.470001,310.170013,310.880005,310.128113,76798100
2021-03-11,315.769989,319.859985,314.850006,318.040009,317.270782,53484800
2021-03-12,313.859985,318.230011,311.390015,315.459991,314.697021,69315600
2021-03-15,315.790009,319.000000,314.100006,318.829987,318.058838,42955700
2021-03-16,321.089996,324.200012,319.100006,320.579987,319.804626,54925900
2021-03-17,317.450012,323.850006,315.679993,321.899994,321.121460,78258700
2021-03-18,316.869995,317.880005,311.570007,312.040009,311.285309,82718100
2021-03-19,311.869995,314.730011,309.660004,313.140015,312.382660,78446200
2021-03-22,315.209991,320.739990,315.209991,318.609985,318.240814,56194800
2021-03-23,319.730011,321.089996,316.380005,317.220001,316.852448,53455400
2021-03-24,318.630005,318.670013,311.720001,311.869995,311.508636,64803700
2021-03-25,309.970001,312.890015,307.390015,311.329987,310.969269,78729000
2021-03-26,311.109985,316.329987,309.670013,316.000000,315.633850,63519600
2021-03-29,315.450012,316.989990,312.470001,315.910004,315.543976,54608000
2021-03-30,313.890015,314.910004,311.540009,314.320007,313.955811,44635700
2021-03-31,316.160004,320.739990,315.809998,319.130005,318.760254,55032500
2021-04-01,323.070007,324.709991,322.809998,324.570007,324.193939,55685600
2021-04-05,327.130005,331.839996,326.880005,331.049988,330.666412,42172500
2021-04-06,330.730011,332.829987,330.019989,330.820007,330.436707,33537200
2021-04-07,330.329987,332.480011,329.369995,331.619995,331.235748,32046400
2021-04-08,334.559998,335.269989,333.739990,335.079987,334.691742,29940800
2021-04-09,333.679993,337.320007,332.920013,337.109985,336.719391,36664900
2021-04-12,336.040009,337.100006,334.730011,336.670013,336.279938,25833000
2021-04-13,338.239990,341.079987,338.019989,340.600006,340.205383,30374000
2021-04-14,340.850006,340.980011,335.670013,336.510010,336.120117,42564300
2021-04-15,339.470001,342.010010,336.220001,341.609985,341.214172,36342800
2021-04-16,342.149994,342.230011,340.079987,342.010010,341.613739,40860100
2021-04-19,340.390015,341.579987,336.899994,338.880005,338.487366,34533100
2021-04-20,338.200012,339.519989,334.380005,336.410004,336.020233,38081800
2021-04-21,335.089996,339.480011,333.970001,339.290009,338.896881,36598100
2021-04-22,338.890015,339.899994,334.010010,335.200012,334.811646,45936100
2021-04-23,335.850006,340.769989,335.850006,339.420013,339.026733,36381900
2021-04-26,339.670013,341.920013,338.899994,341.630005,341.234161,30812000
2021-04-27,341.929993,342.149994,339.170013,340.149994,339.755890,33187200
2021-04-28,339.809998,340.850006,338.329987,339.000000,338.607208,33615700
2021-04-29,342.369995,342.799988,336.899994,340.220001,339.825806,37708900
2021-04-30,337.700012,340.260010,337.049988,337.989990,337.598389,38263400
2021-05-03,339.230011,340.000000,335.730011,336.190002,335.800476,29729700
2021-05-04,333.559998,333.890015,326.209991,330.140015,329.757507,65147000
2021-05-05,332.250000,333.140015,328.230011,329.029999,328.648773,46219300
2021-05-06,328.760010,331.670013,326.450012,331.510010,331.125916,46814300
2021-05-07,334.369995,336.649994,331.690002,334.200012,333.812775,53324500
2021-05-10,332.779999,332.959991,325.549988,325.760010,325.382568,60700500
2021-05-11,319.700012,326.130005,319.019989,325.309998,324.933075,71963600
2021-05-12,320.230011,322.619995,316.000000,316.890015,316.522858,91164900
2021-05-13,319.920013,322.399994,316.899994,319.339996,318.970001,69877800
2021-05-14,322.600006,327.329987,322.079987,326.390015,326.011841,44370000
2021-05-17,324.630005,326.369995,321.450012,324.410004,324.034119,39395000
2021-05-18,325.390015,326.649994,321.940002,322.220001,321.846649,36528500
2021-05-19,316.660004,322.899994,316.299988,322.589996,322.216217,66319100
2021-05-20,324.119995,329.709991,323.890015,328.829987,328.448975,46466100
2021-05-21,330.429993,330.859985,326.640015,327.010010,326.631104,50330400
2021-05-24,329.369995,333.670013,326.899994,332.510010,332.124756,32475800
2021-05-25,334.070007,334.809998,331.760010,332.970001,332.584198,31280300
2021-05-26,333.660004,334.609985,332.950012,334.130005,333.742859,25444900
2021-05-27,333.670013,334.540009,332.670013,332.880005,332.494324,27931700
2021-05-28,334.119995,335.570007,333.600006,333.929993,333.543091,29927400
2021-06-01,335.299988,335.790009,331.429993,332.820007,332.434387,31145400
2021-06-02,333.250000,334.339996,331.700012,333.470001,333.083618,22047900
2021-06-03,330.549988,331.859985,328.279999,330.000000,329.617645,37057800
2021-06-04,331.850006,336.059998,331.779999,335.600006,335.211151,38736500
2021-06-07,335.049988,336.660004,334.339996,336.600006,336.209991,32611900
2021-06-08,338.399994,339.290009,335.029999,336.760010,336.369812,27282800
2021-06-09,338.170013,338.970001,336.649994,336.839996,336.449707,21485300
2021-06-10,337.190002,340.459991,336.730011,340.350006,339.955658,33702100
2021-06-11,340.359985,341.250000,339.690002,341.239990,340.844604,21222800
2021-06-14,341.679993,344.519989,340.459991,344.510010,344.110840,27827700
2021-06-15,344.149994,344.470001,341.519989,342.260010,341.863434,35963800
2021-06-16,342.739990,343.839996,337.450012,341.010010,340.614899,55399500
2021-06-17,339.970001,346.380005,339.920013,345.339996,344.939880,59722700
2021-06-18,343.630005,344.809998,341.859985,342.630005,342.233002,55414900
2021-06-21,342.429993,344.690002,340.149994,344.359985,344.359985,32992600
2021-06-22,344.149994,348.029999,343.839996,347.570007,347.570007,28941600
2021-06-23,347.510010,348.920013,346.880005,347.739990,347.739990,27188500
2021-06-24,349.730011,351.459991,349.170013,349.890015,349.890015,32581600
2021-06-25,350.470001,350.720001,348.839996,349.459991,349.459991,28682800
2021-06-28,350.779999,353.850006,350.720001,353.709991,353.709991,39130300
2021-06-29,353.529999,355.019989,352.670013,354.989990,354.989990,29426000
2021-06-30,354.829987,355.230011,353.829987,354.429993,354.429993,32724000
2021-07-01,354.070007,355.089996,352.679993,354.570007,354.570007,29290000
2021-07-02,356.519989,358.970001,356.279999,358.640015,358.640015,32727200
2021-07-06,359.260010,360.480011,356.489990,360.190002,360.190002,38842400
2021-07-07,362.450012,362.760010,358.940002,360.950012,360.950012,35265200
2021-07-08,355.739990,359.649994,354.420013,358.769989,358.769989,50890000
2021-07-09,358.170013,361.500000,357.570007,361.010010,361.010010,35184500
2021-07-12,362.450012,362.890015,360.829987,362.420013,362.420013,25717700
2021-07-13,362.029999,365.470001,361.540009,362.420013,362.420013,39723000
2021-07-14,364.829987,365.489990,362.220001,363.070007,363.070007,35336400
2021-07-15,362.980011,363.190002,358.459991,360.519989,360.519989,53391600
2021-07-16,361.399994,362.410004,357.239990,357.600006,357.600006,47262000
2021-07-19,354.049988,355.179993,352.040009,354.670013,354.670013,64404600
2021-07-20,355.630005,360.279999,353.799988,358.790009,358.790009,42183700
2021-07-21,358.350006,361.559998,358.119995,361.559998,361.559998,30259900
2021-07-22,361.769989,363.959991,361.769989,363.950012,363.950012,30252200
2021-07-23,365.309998,368.489990,363.920013,368.200012,368.200012,31960800
2021-07-26,367.489990,368.890015,366.600006,368.489990,368.489990,28438100
2021-07-27,368.220001,368.220001,360.160004,364.429993,364.429993,57933100
2021-07-28,365.600006,367.450012,363.239990,365.829987,365.829987,42066200
2021-07-29,365.250000,367.679993,365.250000,366.480011,366.480011,25672500
2021-07-30,362.440002,365.170013,362.410004,364.570007,364.570007,36463500
2021-08-02,366.279999,366.880005,363.869995,364.600006,364.600006,27334100
2021-08-03,365.279999,366.929993,362.000000,366.809998,366.809998,35446200
2021-08-04,366.769989,368.320007,365.630005,367.339996,367.339996,29508200
2021-08-05,368.179993,369.739990,367.450012,369.350006,369.350006,13227462
